timestamp,total,cidr_count,unique_sni
2026-06-17 17:41:32,100,76,48
2026-06-17 19:53:53,100,89,38
2026-06-17 21:50:10,100,77,45
2026-06-17 23:13:30,100,63,41
2026-06-18 02:11:42,100,71,46
2026-06-18 07:22:15,100,100,20
2026-06-18 11:41:51,100,75,30
2026-06-18 14:38:06,100,85,46
2026-06-18 17:51:41,100,91,42
2026-06-18 20:04:28,100,82,49
2026-06-18 22:48:56,100,73,48
2026-06-19 00:17:44,100,76,37
2026-06-19 06:04:04,100,71,37
2026-06-19 11:10:10,100,100,22
2026-06-19 14:35:35,100,87,47
2026-06-19 17:08:25,100,86,44
2026-06-19 19:21:08,100,88,29
2026-06-19 20:58:33,100,83,49
2026-06-19 22:01:47,100,82,43
2026-06-19 23:56:14,100,100,25
2026-06-20 02:15:00,100,82,38
2026-06-20 06:51:28,100,92,35
2026-06-20 09:55:37,100,83,43
2026-06-20 11:49:27,100,86,44
2026-06-20 13:19:46,100,74,47
2026-06-20 15:26:39,100,89,42
2026-06-20 17:12:07,100,80,29
2026-06-20 19:04:52,100,100,26
2026-06-20 21:00:35,100,85,40
2026-06-20 22:55:09,100,70,52
2026-06-20 23:57:09,100,65,58
2026-06-21 02:56:10,100,72,39
2026-06-21 07:25:05,100,96,40
2026-06-21 10:57:20,100,76,43
2026-06-21 13:02:45,100,94,28
2026-06-21 15:43:15,100,84,27
2026-06-21 17:14:38,100,95,57
2026-06-21 19:09:00,100,99,21
2026-06-21 21:01:25,100,82,34
2026-06-21 22:56:25,100,93,37
2026-06-22 00:03:28,100,90,23
2026-06-22 06:16:15,100,65,25
2026-06-22 12:39:41,100,49,9
2026-06-22 17:22:12,100,84,18
2026-06-22 20:28:09,100,98,7
2026-06-22 22:29:01,100,98,12
2026-06-22 23:57:51,100,58,8
2026-06-23 02:42:14,100,92,21
2026-06-23 06:36:36,100,64,12
2026-06-23 10:25:54,100,100,26
2026-06-23 13:33:14,100,91,18
2026-06-23 16:17:32,100,100,4
2026-06-23 19:02:05,100,91,25
2026-06-23 21:21:20,100,98,13
2026-06-23 22:56:53,100,99,11
2026-06-23 23:49:22,100,97,13
2026-06-24 01:53:35,100,93,18
2026-06-24 05:55:49,100,98,22
2026-06-24 08:51:02,100,96,15
2026-06-24 11:36:08,100,89,43
2026-06-24 13:58:50,100,91,17
2026-06-24 16:17:23,100,100,2
2026-06-24 18:25:30,100,91,22
2026-06-24 20:25:14,100,73,60
2026-06-24 22:04:55,100,92,42
2026-06-24 23:55:06,100,100,29
2026-06-25 01:57:40,100,95,28
2026-06-25 06:00:59,100,79,46
2026-06-25 09:59:15,100,94,60
2026-06-25 12:17:39,100,66,62
2026-06-25 15:35:05,100,98,28
2026-06-25 17:59:19,100,82,48
2026-06-25 19:58:23,100,91,42
